#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
l'Ami, Erwin|Erwin_l%27Ami
Lie, Espen|Espen_Lie
Canal, Esteban|Esteban_Canal
Bacrot, Etienne|Etienne_Bacrot
Delmar, Eugene|Eugene_Delmar
Colman, Eugene Ernest|Eugene_Ernest_Colman
Perelshteyn, Eugene|Eugene_Perelshteyn
Rousseau, Eugene|Eug%C3%A9ne_Rousseau_%28chess%29
Znosko-Borovsky, Eugene|Eugene_Znosko-Borovsky
German, Eugenio|Eugenio_German
Szabados, Eugenio|Eugenio_Szabados
Torre, Eugenio|Eugenio_Torre
Vasiukov, Evgeni|Evgeni_Vasiukov
Ermenkov, Evgenij|Evgenij_Ermenkov
Miroshnichenko, Evgenij|Evgenij_Miroshnichenko
Najer, Evgeniy|Evgeniy_Najer
Agrest, Evgeny|Evgeny_Agrest
Alekseev, Evgeny|Evgeny_Alekseev_%28chess_player%29
Bareev, Evgeny|Evgeny_Bareev
Postny, Evgeny|Evgeny_Postny
Sveshnikov, Evgeny|Evgeny_Sveshnikov
Tomashevsky, Evgeny|Evgeny_Tomashevsky
Vladimirov, Evgeny|Evgeny_Vladimirov
Green, Ewen McGowen|Ewen_McGowen_Green
Caruana, Fabiano|Fabiano_Caruana
Abbasov, Farid|Farid_Abbasov
Amonatov, Farrukh|Farrukh_Amonatov
Norcia, Federico|Federico_Norcia
Bogatyrchuk, Fedor|Fedor_Bogatyrchuk
Kibbermann, Feliks|Feliks_Kibbermann
Debs, Felipe El|Felipe_El_Debs
Heemskerk, Fenny|Fenny_Heemskerk
Chalupetzky, Ferenc|Ferenc_Chalupetzky
Campomanes, Florencio|Florencio_Campomanes
Jenni, Florian|Florian_Jenni
Felecan, Florin|Florin_Felecan
Gheorghiu, Florin|Florin_Gheorghiu
Ekstroem, Folke|Folke_Ekstr%C3%B6m
Benkoe, Francisco|Francisco_Benk%C3%B6
Lupi, Francisco|Francisco_Lupi
Pons, Francisco Vallejo|Francisco_Vallejo_Pons
Sulik, Franciszek|Franciszek_Sulik
Philidor, Francois-Andre Danican|Fran%C3%A7ois-Andr%C3%A9_Danican_Philidor
Anderson, Frank|Frank_Anderson_%28chess_player%29
Lamprecht, Frank|Frank_Lamprecht
Marshall, Frank|Frank_Marshall
Parr, Frank|Frank_Parr
Schubert, Frantisek|Franti%C5%A1ek_Schubert
Treybal, Frantisek|Franti%C5%A1ek_Treybal
Zita, Frantisek|Franti%C5%A1ek_Zita
Reinfeld, Fred|Fred_Reinfeld
Deacon, Frederic|Frederic_Deacon
Friedel, Frederic|Frederic_Friedel
Lazard, Frederic|Fr%C3%A9d%C3%A9ric_Lazard
Yates, Frederick|Frederick_Yates
Apsenieks, Fricis|Fricis_Ap%C5%A1enieks
Olafsson, Fridrik|Fri%C3%B0rik_%C3%93lafsson
Rinder, Friedl|Friedl_Rinder
Amelung, Friedrich|Friedrich_Amelung
Baumbach, Friedrich|Friedrich_Baumbach
Koehnlein, Friedrich|Friedrich_K%C3%B6hnlein
Nuernberg, Friedrich|Friedrich_N%C3%BCrnberg
Saemisch, Friedrich|Friedrich_S%C3%A4misch
Nijboer, Friso|Friso_Nijboer
Gygli, Fritz|Fritz_Gygli
Riemann, Fritz|Fritz_Riemann
Duz-Khotimirsky, Fyodor|Fyodor_Duz-Khotimirsky
Kallai, Gabor|Gabor_Kallai
Sargissian, Gabriel|Gabriel_Sargissian
Schwartzman, Gabriel|Gabriel_Schwartzman
Guseinov, Gadir|Gadir_Guseinov
Rui, Gao|Gao_Rui
Kasparov, Garry|Garry_Kasparov
Koshnitsky, Gary|Gary_Koshnitsky
Lane, Gary|Gary_Lane
Needleman, Gaston|Gast%C3%B3n_Needleman
Kamsky, Gata|Gata_Kamsky
Shankar, Gauri|Gauri_Shankar
Veresov, Gavriil|Gavriil_Veresov
Jones, Gawain|Gawain_Jones
Szapiro, Gedali|Gedali_Szapiro
Barcza, Gedeon|Gedeon_Barcza
Sosonko, Genna|Genna_Sosonko
Sosonko, Gennadi|Gennadi_Sosonko
Kuzmin, Gennady|Gennady_Kuzmin
Kasparyan, Genrikh|Genrikh_Kasparyan
Kieninger, Georg|Georg_Kieninger
Klaus, Georg|Georg_Klaus
Marco, Georg|Georg_Marco
Meier, Georg|Georg_Meier_%28chess_player%29
Mohr, Georg|Georg_Mohr_%28chess_player%29
Schories, Georg|Georg_Schories
Thomas, George Alan|George_Alan_Thomas
Botterill, George|George_Botterill
Gossip, George H. D.|George_H._D._Gossip
Mackenzie, George Henry|George_Henry_Mackenzie
Koltanowski, George|George_Koltanowski
Fontein, George Salto|George_Salto_Fontein
Treysman, George|George_Treysman
Walker, George|George_Walker_%28chess_player%29
Koltanowski, Georges|Georges_Koltanowski
