#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Kowalewskaja, Jekaterina|Jekaterina_Walentinowna_Kowalewskaja
Dembo, Jelena|Jelena_Dembo
Fatalibekowa, Jelena|Jelena_Abramowna_Fatalibekowa
Bykowa, Jelisaweta|Jelisaweta_Iwanowna_Bykowa
Piket, Jeroen|Jeroen_Piket
Konikowski, Jerzy|Jerzy_Konikowski
Nill, Jessica|Jessica_Nill
Svesnikovs, Jevgenijs|Jevg%C4%93%C5%86ijs_Sve%C5%A1%C5%86ikovs
Alexejew, Jewgeni|Jewgeni_Wladimirowitsch_Alexejew
Barejew, Jewgeni|Jewgeni_Ilgisowitsch_Barejew
Najer, Jewgeni|Jewgeni_Jurjewitsch_Najer
Tomaschewski, Jewgeni|Jewgeni_Jurjewitsch_Tomaschewski
Wasjukow, Jewgeni|Jewgeni_Andrejewitsch_Wasjukow
Miroschnytschenko, Jewhen|Jewhen_Miroschnytschenko
Lechtvnsky, Jiri|Ji%C5%99%C3%AD_Lecht%C3%BDnsk%C3%BD
Stocek, Jiri|Ji%C5%99%C3%AD_%C5%A0to%C4%8Dek
Benjamin, Joel|Joel_Benjamin
Lautier, Joel|Jo%C3%ABl_Lautier
Blauert, Joerg|J%C3%B6rg_Blauert
Hickl, Joerg|J%C3%B6rg_Hickl
Hellsten, Johan|Johan_Hellsten
Allgaier, Johann Baptist|Johann_Baptist_Allgaier
Berger, Johann|Johann_Berger
Bauer, Johann Hermann|Johann_Hermann_Bauer
Hjartarson, Johann|J%C3%B3hann_Hjartarson
Loewenthal, Johann Jacob|Johann_Jacob_L%C3%B6wenthal
Eising, Johannes|Johannes_Eising
Donner, Johannes Hendrikus|Johannes_Hendrikus_Donner
Zukertort, Johannes Hermann|Johannes_Hermann_Zukertort
Metger, Johannes|Johannes_Metger
Minckwitz, Johannes|Johannes_Minckwitz
Cochrane, John|John_Cochrane
Fedorowicz, John|John_Fedorowicz
Nunn, John|John_Nunn
Shaw, John|John_Shaw_%28Schachspieler%29
Wiel, John van der|John_van_der_Wiel
Hammer, Jon Ludvig|Jon_Ludvig_Hammer
Mestel, Jonathan|Jonathan_Mestel
Rowson, Jonathan|Jonathan_Rowson
Speelman, Jonathan|Jonathan_Speelman
Hector, Jonny|Jonny_Hector
Belic, Jordanka|Jordanka_Beli%C4%87
Capablanca, Jose Raul|Jos%C3%A9_Ra%C3%BAl_Capablanca
Klinger, Josef|Josef_Klinger
Lokvenc, Josef|Josef_Lokvenc
Gallager, Joseph|Joseph_Gallagher
Gallagher, Joseph|Joseph_Gallagher
Blackburne, Joseph Henry|Joseph_Henry_Blackburne
Platz, Joseph|Joseph_Platz
Dorfman, Josif|Josif_Dorfman
